kind,scenario,nb_cars,world_seed,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,pessimistic,150,2,mean_waiting_time_min,Mean waiting time,down,min,3,Cross-station adaptation,multistation_rep,bramev,14.658,13.716,-0.942,-6.4265,True
ladder,pessimistic,150,2,mean_travel_distance_km,Mean distance,down,km,3,Cross-station adaptation,multistation_rep,bramev,0.6881,0.6972,0.0091,1.3225,False
ladder,pessimistic,150,2,rate_pres,Show-up rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.4005,0.4019,0.0014,0.3496,True
ladder,pessimistic,150,2,rate_abs,No-show rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.2451,0.2464,0.0013,0.5304,False
ladder,pessimistic,150,2,nb_no_show,No-shows,down,,3,Cross-station adaptation,multistation_rep,bramev,101.0,103.0,2.0,1.9802,False
ladder,pessimistic,150,2,nb_reservations,Confirmed reservations,up,,3,Cross-station adaptation,multistation_rep,bramev,412.0,418.0,6.0,1.4563,True
ladder,pessimistic,150,2,mean_occupancy_rate,Occupancy rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.7943,0.8124,0.0181,2.2787,True
ladder,pessimistic,150,2,mean_service_rate,Service rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.3285,0.3328,0.0043,1.309,True
ladder,pessimistic,150,2,slot_waste_rate,Wasted reserved slots,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.5841,0.5881,0.004,0.6848,False
ladder,pessimistic,150,2,no_offer_rate,Demands with no offer,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0144,0.0118,-0.0026,-18.0556,True
ladder,pessimistic,150,2,abandon_rate,Abandoned searches,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0096,0.0118,0.0022,22.9167,False
ladder,pessimistic,150,2,request_rejection_rate,Unserved demands,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.0144,0.0118,-0.0026,-18.0556,True
ladder,pessimistic,150,2,nb_station_level_rejections,Rejected demands,down,,3,Cross-station adaptation,multistation_rep,bramev,187.0,216.0,29.0,15.508,False
ladder,pessimistic,150,2,station_rejection_rate,Station rejection rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.1629,0.1793,0.0164,10.0675,False
ladder,pessimistic,150,2,total_ms_mean,End-to-end latency,down,ms,3,Cross-station adaptation,multistation_rep,bramev,660.593,627.763,-32.83,-4.9698,True
ladder,pessimistic,150,2,wall_time_s,Wall time,down,s,3,Cross-station adaptation,multistation_rep,bramev,48.85,46.803,-2.047,-4.1904,True
ladder,pessimistic,150,3,exact_satisfaction,Exact satisfaction,up,%,1,Multi-station search,greedy,multistation,0.5181,0.665,0.1469,28.3536,True
ladder,pessimistic,150,3,needs_satisfaction,Needs satisfied,up,%,1,Multi-station search,greedy,multistation,0.5328,0.6791,0.1463,27.4587,True
ladder,pessimistic,150,3,confirm_rate,Confirmation rate,up,%,1,Multi-station search,greedy,multistation,0.9049,0.9787,0.0738,8.1556,True
ladder,pessimistic,150,3,mean_waiting_time_min,Mean waiting time,down,min,1,Multi-station search,greedy,multistation,57.258,34.632,-22.626,-39.5159,True
ladder,pessimistic,150,3,mean_travel_distance_km,Mean distance,down,km,1,Multi-station search,greedy,multistation,0.5672,0.646,0.0788,13.8928,False
ladder,pessimistic,150,3,rate_pres,Show-up rate,up,%,1,Multi-station search,greedy,multistation,0.4205,0.4139,-0.0066,-1.5696,False
ladder,pessimistic,150,3,rate_abs,No-show rate,down,%,1,Multi-station search,greedy,multistation,0.2103,0.2092,-0.0011,-0.5231,True
ladder,pessimistic,150,3,nb_no_show,No-shows,down,,1,Multi-station search,greedy,multistation,86.0,96.0,10.0,11.6279,False
ladder,pessimistic,150,3,nb_reservations,Confirmed reservations,up,,1,Multi-station search,greedy,multistation,409.0,459.0,50.0,12.2249,True
ladder,pessimistic,150,3,mean_occupancy_rate,Occupancy rate,up,%,1,Multi-station search,greedy,multistation,0.6649,0.8084,0.1435,21.5822,True
ladder,pessimistic,150,3,mean_service_rate,Service rate,up,%,1,Multi-station search,greedy,multistation,0.2769,0.3266,0.0497,17.9487,True
ladder,pessimistic,150,3,slot_waste_rate,Wasted reserved slots,down,%,1,Multi-station search,greedy,multistation,0.5841,0.5991,0.015,2.5681,False
ladder,pessimistic,150,3,no_offer_rate,Demands with no offer,down,%,1,Multi-station search,greedy,multistation,0.0951,0.0213,-0.0738,-77.6025,True
ladder,pessimistic,150,3,abandon_rate,Abandoned searches,down,%,1,Multi-station search,greedy,multistation,0.0863,0.0192,-0.0671,-77.752,True
ladder,pessimistic,150,3,request_rejection_rate,Unserved demands,down,%,1,Multi-station search,greedy,multistation,0.0951,0.0213,-0.0738,-77.6025,True
ladder,pessimistic,150,3,nb_station_level_rejections,Rejected demands,down,,1,Multi-station search,greedy,multistation,223.0,426.0,203.0,91.0314,False
ladder,pessimistic,150,3,station_rejection_rate,Station rejection rate,down,%,1,Multi-station search,greedy,multistation,0.3528,0.337,-0.0158,-4.4785,True
ladder,pessimistic,150,3,total_ms_mean,End-to-end latency,down,ms,1,Multi-station search,greedy,multistation,88.976,231.709,142.733,160.4174,False
ladder,pessimistic,150,3,wall_time_s,Wall time,down,s,1,Multi-station search,greedy,multistation,10.359,26.33,15.971,154.1751,False
ladder,pessimistic,150,3,exact_satisfaction,Exact satisfaction,up,%,2,Reputation,multistation,multistation_rep,0.665,0.6671,0.0021,0.3158,True
ladder,pessimistic,150,3,needs_satisfaction,Needs satisfied,up,%,2,Reputation,multistation,multistation_rep,0.6791,0.6799,0.0008,0.1178,True
ladder,pessimistic,150,3,confirm_rate,Confirmation rate,up,%,2,Reputation,multistation,multistation_rep,0.9787,0.9825,0.0038,0.3883,True
ladder,pessimistic,150,3,mean_waiting_time_min,Mean waiting time,down,min,2,Reputation,multistation,multistation_rep,34.632,36.36,1.728,4.9896,False
ladder,pessimistic,150,3,mean_travel_distance_km,Mean distance,down,km,2,Reputation,multistation,multistation_rep,0.646,0.665,0.019,2.9412,False
ladder,pessimistic,150,3,rate_pres,Show-up rate,up,%,2,Reputation,multistation,multistation_rep,0.4139,0.4209,0.007,1.6912,True
ladder,pessimistic,150,3,rate_abs,No-show rate,down,%,2,Reputation,multistation,multistation_rep,0.2092,0.2116,0.0024,1.1472,False
ladder,pessimistic,150,3,nb_no_show,No-shows,down,,2,Reputation,multistation,multistation_rep,96.0,95.0,-1.0,-1.0417,True
ladder,pessimistic,150,3,nb_reservations,Confirmed reservations,up,,2,Reputation,multistation,multistation_rep,459.0,449.0,-10.0,-2.1786,False
ladder,pessimistic,150,3,mean_occupancy_rate,Occupancy rate,up,%,2,Reputation,multistation,multistation_rep,0.8084,0.7921,-0.0163,-2.0163,False
ladder,pessimistic,150,3,mean_service_rate,Service rate,up,%,2,Reputation,multistation,multistation_rep,0.3266,0.3379,0.0113,3.4599,True
ladder,pessimistic,150,3,slot_waste_rate,Wasted reserved slots,down,%,2,Reputation,multistation,multistation_rep,0.5991,0.5766,-0.0225,-3.7556,True
ladder,pessimistic,150,3,no_offer_rate,Demands with no offer,down,%,2,Reputation,multistation,multistation_rep,0.0213,0.0175,-0.0038,-17.8404,True
ladder,pessimistic,150,3,abandon_rate,Abandoned searches,down,%,2,Reputation,multistation,multistation_rep,0.0192,0.0153,-0.0039,-20.3125,True
ladder,pessimistic,150,3,request_rejection_rate,Unserved demands,down,%,2,Reputation,multistation,multistation_rep,0.0213,0.0175,-0.0038,-17.8404,True
ladder,pessimistic,150,3,nb_station_level_rejections,Rejected demands,down,,2,Reputation,multistation,multistation_rep,426.0,384.0,-42.0,-9.8592,True
ladder,pessimistic,150,3,station_rejection_rate,Station rejection rate,down,%,2,Reputation,multistation,multistation_rep,0.337,0.3163,-0.0207,-6.1424,True
ladder,pessimistic,150,3,total_ms_mean,End-to-end latency,down,ms,2,Reputation,multistation,multistation_rep,231.709,243.849,12.14,5.2393,False
ladder,pessimistic,150,3,wall_time_s,Wall time,down,s,2,Reputation,multistation,multistation_rep,26.33,28.887,2.557,9.7114,False
ladder,pessimistic,150,3,exact_satisfaction,Exact satisfaction,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.6671,0.6657,-0.0014,-0.2099,False
ladder,pessimistic,150,3,needs_satisfaction,Needs satisfied,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.6799,0.6792,-0.0007,-0.103,False
ladder,pessimistic,150,3,confirm_rate,Confirmation rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.9825,0.97,-0.0125,-1.2723,False
ladder,pessimistic,150,3,mean_waiting_time_min,Mean waiting time,down,min,3,Cross-station adaptation,multistation_rep,bramev,36.36,35.928,-0.432,-1.1881,True
ladder,pessimistic,150,3,mean_travel_distance_km,Mean distance,down,km,3,Cross-station adaptation,multistation_rep,bramev,0.665,0.6382,-0.0268,-4.0301,True
ladder,pessimistic,150,3,rate_pres,Show-up rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.4209,0.415,-0.0059,-1.4018,False
ladder,pessimistic,150,3,rate_abs,No-show rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.2116,0.2119,0.0003,0.1418,False
ladder,pessimistic,150,3,nb_no_show,No-shows,down,,3,Cross-station adaptation,multistation_rep,bramev,95.0,96.0,1.0,1.0526,False
