kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_pairs,seeds,mean_value_from,mean_value_to,mean_delta,sd_delta,sem_delta,ci95_low,ci95_high,mean_delta_pct,t_stat,p_value,significant_95,nb_improved,share_improved,verdict
variant,pessimistic,150,no_offer_rate,Demands with no offer,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.019333,0.0168,-0.002533,0.010661,0.006155,-0.029016,0.02395,1.5713,-0.4116,0.720558,False,2,0.6667,ns
variant,pessimistic,150,abandon_rate,Abandoned searches,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.0149,0.012133,-0.002767,0.004631,0.002674,-0.01427,0.008737,-18.1824,-1.0348,0.409473,False,2,0.6667,ns
variant,pessimistic,150,request_rejection_rate,Unserved demands,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.019333,0.0168,-0.002533,0.010661,0.006155,-0.029016,0.02395,1.5713,-0.4116,0.720558,False,2,0.6667,ns
variant,pessimistic,150,nb_station_level_rejections,Rejected demands,down,,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,286.333333,250.0,-36.333333,75.659324,43.681931,-224.281514,151.614847,-10.5754,-0.8318,0.493034,False,2,0.6667,ns
variant,pessimistic,150,station_rejection_rate,Station rejection rate,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,0.222667,0.201533,-0.021133,0.047778,0.027585,-0.13982,0.097553,-8.8587,-0.7661,0.52367,False,2,0.6667,ns
variant,pessimistic,150,total_ms_mean,End-to-end latency,down,ms,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,513.328667,529.894333,16.565667,13.723926,7.923512,-17.526456,50.657789,2.6378,2.0907,0.171702,False,0,0.0,ns
variant,pessimistic,150,wall_time_s,Wall time,down,s,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,1|2|3,43.955333,44.773,0.817667,1.051852,0.607287,-1.795278,3.430612,1.7453,1.3464,0.310464,False,1,0.3333,ns
variant,pessimistic,150,exact_satisfaction,Exact satisfaction,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.751467,0.754533,0.003067,0.002723,0.001572,-0.003697,0.00983,0.4248,1.9508,0.190362,False,2,0.6667,ns
variant,pessimistic,150,needs_satisfaction,Needs satisfied,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.763967,0.766433,0.002467,0.003024,0.001746,-0.005045,0.009978,0.3494,1.4129,0.293216,False,2,0.6667,ns
variant,pessimistic,150,confirm_rate,Confirmation rate,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.980667,0.983533,0.002867,0.006558,0.003786,-0.013424,0.019157,0.2952,0.7572,0.527999,False,2,0.6667,ns
variant,pessimistic,150,mean_waiting_time_min,Mean waiting time,down,min,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,21.026,22.18,1.154,1.13437,0.654929,-1.663932,3.971932,4.7386,1.762,0.220124,False,0,0.0,ns
variant,pessimistic,150,mean_travel_distance_km,Mean distance,down,km,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.720633,0.727767,0.007133,0.006336,0.003658,-0.008606,0.022873,0.979,1.9501,0.190473,False,1,0.3333,ns
variant,pessimistic,150,rate_pres,Show-up rate,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.412233,0.4104,-0.001833,0.001172,0.000677,-0.004744,0.001078,-0.441,-2.7097,0.11348,False,0,0.0,ns
variant,pessimistic,150,rate_abs,No-show rate,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.2196,0.221767,0.002167,0.000907,0.000524,-8.7e-05,0.004421,1.0166,4.1359,0.053788,False,0,0.0,ns
variant,pessimistic,150,nb_no_show,No-shows,down,,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,94.666667,95.666667,1.0,1.0,0.57735,-1.484138,3.484138,1.0866,1.7321,0.225403,False,0,0.0,ns
variant,pessimistic,150,nb_reservations,Confirmed reservations,up,,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,431.666667,432.0,0.333333,2.516611,1.452966,-5.918276,6.584943,0.0613,0.2294,0.839872,False,1,0.3333,ns
variant,pessimistic,150,mean_occupancy_rate,Occupancy rate,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.826033,0.828333,0.0023,0.003724,0.00215,-0.006952,0.011552,0.2777,1.0697,0.396753,False,2,0.6667,ns
variant,pessimistic,150,mean_service_rate,Service rate,up,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.340767,0.339667,-0.0011,0.000265,0.000153,-0.001757,-0.000443,-0.3215,-7.2012,0.018743,True,0,0.0,worse
variant,pessimistic,150,slot_waste_rate,Wasted reserved slots,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.5893,0.591567,0.002267,0.001328,0.000767,-0.001032,0.005565,0.3847,2.9565,0.097892,False,0,0.0,ns
variant,pessimistic,150,no_offer_rate,Demands with no offer,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.019333,0.016467,-0.002867,0.006558,0.003786,-0.019157,0.013424,-8.0318,-0.7572,0.527999,False,2,0.6667,ns
variant,pessimistic,150,abandon_rate,Abandoned searches,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.0149,0.009767,-0.005133,0.00542,0.003129,-0.018597,0.00833,-31.7417,-1.6405,0.242582,False,2,0.6667,ns
variant,pessimistic,150,request_rejection_rate,Unserved demands,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.019333,0.016467,-0.002867,0.006558,0.003786,-0.019157,0.013424,-8.0318,-0.7572,0.527999,False,2,0.6667,ns
variant,pessimistic,150,nb_station_level_rejections,Rejected demands,down,,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,286.333333,236.333333,-50.0,70.760158,40.853396,-225.777978,125.777978,-15.6665,-1.2239,0.345608,False,2,0.6667,ns
variant,pessimistic,150,station_rejection_rate,Station rejection rate,down,%,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,0.222667,0.194867,-0.0278,0.038566,0.022266,-0.123603,0.068003,-12.7861,-1.2485,0.338168,False,2,0.6667,ns
variant,pessimistic,150,total_ms_mean,End-to-end latency,down,ms,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,513.328667,507.712,-5.616667,13.622767,7.865108,-39.457495,28.224162,-2.7328,-0.7141,0.549246,False,1,0.3333,ns
variant,pessimistic,150,wall_time_s,Wall time,down,s,0,Duration-weighted score,bramev,bramev_event_score,3,1|2|3,43.955333,43.435333,-0.52,1.076268,0.621383,-3.193597,2.153597,-1.9658,-0.8368,0.490743,False,2,0.6667,ns
baseline,pessimistic,150,exact_satisfaction,Exact satisfaction,up,%,0,Load-Aware,load_aware,bramev,3,1|2|3,0.778867,0.751467,-0.0274,0.011471,0.006623,-0.055896,0.001096,-3.4382,-4.1371,0.053757,False,0,0.0,ns
baseline,pessimistic,150,needs_satisfaction,Needs satisfied,up,%,0,Load-Aware,load_aware,bramev,3,1|2|3,0.7887,0.763967,-0.024733,0.009258,0.005345,-0.047731,-0.001736,-3.075,-4.6275,0.043664,True,0,0.0,worse
baseline,pessimistic,150,confirm_rate,Confirmation rate,up,%,0,Load-Aware,load_aware,bramev,3,1|2|3,0.9839,0.980667,-0.003233,0.010436,0.006025,-0.029157,0.02269,-0.3272,-0.5366,0.645217,False,2,0.6667,ns
baseline,pessimistic,150,mean_waiting_time_min,Mean waiting time,down,min,0,Load-Aware,load_aware,bramev,3,1|2|3,15.418,21.026,5.608,1.591916,0.919093,1.653462,9.562538,65.3866,6.1017,0.025824,True,0,0.0,worse
baseline,pessimistic,150,mean_travel_distance_km,Mean distance,down,km,0,Load-Aware,load_aware,bramev,3,1|2|3,0.819267,0.720633,-0.098633,0.033027,0.019068,-0.180678,-0.016589,-11.8213,-5.1726,0.035402,True,3,1.0,better
baseline,pessimistic,150,rate_pres,Show-up rate,up,%,0,Load-Aware,load_aware,bramev,3,1|2|3,0.4117,0.412233,0.000533,0.00168,0.00097,-0.003641,0.004707,0.1333,0.5498,0.637671,False,2,0.6667,ns
baseline,pessimistic,150,rate_abs,No-show rate,down,%,0,Load-Aware,load_aware,bramev,3,1|2|3,0.2183,0.2196,0.0013,0.004279,0.00247,-0.00933,0.01193,0.7616,0.5262,0.651271,False,1,0.3333,ns
baseline,pessimistic,150,nb_no_show,No-shows,down,,0,Load-Aware,load_aware,bramev,3,1|2|3,93.0,94.666667,1.666667,1.527525,0.881917,-2.127916,5.46125,1.8796,1.8898,0.199359,False,0,0.0,ns
baseline,pessimistic,150,nb_reservations,Confirmed reservations,up,,0,Load-Aware,load_aware,bramev,3,1|2|3,427.333333,431.666667,4.333333,10.598742,6.119187,-21.995402,30.662068,1.1263,0.7082,0.552256,False,2,0.6667,ns
baseline,pessimistic,150,mean_occupancy_rate,Occupancy rate,up,%,0,Load-Aware,load_aware,bramev,3,1|2|3,0.8459,0.826033,-0.019867,0.014108,0.008145,-0.054912,0.015178,-2.3416,-2.4391,0.134895,False,0,0.0,ns
baseline,pessimistic,150,mean_service_rate,Service rate,up,%,0,Load-Aware,load_aware,bramev,3,1|2|3,0.3417,0.340767,-0.000933,0.000902,0.000521,-0.003174,0.001307,-0.2716,-1.7925,0.214919,False,0,0.0,ns
baseline,pessimistic,150,slot_waste_rate,Wasted reserved slots,down,%,0,Load-Aware,load_aware,bramev,3,1|2|3,0.596533,0.5893,-0.007233,0.006313,0.003645,-0.022916,0.008449,-1.2052,-1.9846,0.185619,False,3,1.0,ns
