kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
variant,balance,150,mean_occupancy_rate,Taux d'occupation,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.1959,0.1953,-0.0006,-0.3063,False
variant,balance,150,mean_service_rate,Taux de service,up,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.112,0.1114,-0.0006,-0.5357,False
variant,balance,150,slot_waste_rate,Slots réservés perdus,down,%,0,Score proportionnel à la durée,bramev,bramev_event_score,0.4267,0.428,0.0013,0.3047,False
variant,balance,150,nb_rejected_request,Demandes rejetées,down,,0,Score proportionnel à la durée,bramev,bramev_event_score,3270.0,1251.0,-2019.0,-61.7431,True
variant,balance,150,total_ms_mean,Latence bout-en-bout,down,ms,0,Score proportionnel à la durée,bramev,bramev_event_score,3266.866,3307.23,40.364,1.2356,False
variant,balance,150,wall_time_s,Temps de calcul,down,s,0,Score proportionnel à la durée,bramev,bramev_event_score,638.389,651.181,12.792,2.0038,False
variant,balance,200,exact_satisfaction,Satisfaction exacte,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.775,0.7489,-0.0261,-3.3677,False
variant,balance,200,needs_satisfaction,Besoins satisfaits,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.7925,0.7759,-0.0166,-2.0946,False
variant,balance,200,confirm_rate,Taux de confirmation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.8658,0.9025,0.0367,4.2389,True
variant,balance,200,mean_waiting_time_min,Attente moyenne,down,min,0,Utilité multicritère,bramev,bramev_nearest_offer,1.314,7.338,6.024,458.4475,False
variant,balance,200,mean_travel_distance_km,Distance moyenne,down,km,0,Utilité multicritère,bramev,bramev_nearest_offer,0.3816,0.3843,0.0027,0.7075,False
variant,balance,200,rate_pres,Taux de présentation,up,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.5936,0.5965,0.0029,0.4885,True
variant,balance,200,rate_abs,Taux de no-show,down,%,0,Utilité multicritère,bramev,bramev_nearest_offer,0.1948,0.1934,-0.0014,-0.7187,True
variant,balance,200,nb_no_show,No-shows,down,,0,Utilité multicritère,bramev,bramev_nearest_offer,382.0,383.0,1.0,0.2618,False
variant,balance,200,nb_reservations,Réservations confirmées,up,,0,Utilité multicritère,bramev,bramev_nearest_offer,1961.0,1980.0,19.0,0.9689,True
